Mot|Phrase|Catégorie|Traduction en français
among|He is among the top students in his class.|Préposition|parmi
amount|The total amount of the bill is $50.|Nom masculin|montant
analysis|The analysis of the data revealed interesting trends.|Nom féminin|analyse
analyst|The financial analyst predicted a market upturn.|Nom masculin|analyste
analyze|We need to analyze the data to make a decision.|Verbe|analyser
ancient|The ancient city has historical significance.|Adjectif|ancien
and|Bread and butter are common breakfast items.|Conjonction|et
anger|His anger was evident in his tone of voice.|Nom masculin|colère
angle|The triangle has three equal angles.|Nom masculin|angle
angry|She was angry about the mistake in the report.|Adjectif|en colère
animal|The zoo is home to a variety of animal species.|Nom masculin|animal
anniversary|They celebrated their 25th wedding anniversary.|Nom masculin|anniversaire
announce|The mayor will announce a new initiative today.|Verbe|annoncer
annual|The annual report summarizes the year's activities.|Adjectif|annuel
another|She wants to buy another dress for the party.|Déterminant|un autre
answer|He gave a clear and concise answer to the question.|Nom masculin|réponse
anticipate|I anticipate a successful outcome for this project.|Verbe|prévoir
anxiety|Her anxiety made it difficult to concentrate.|Nom féminin|anxiété
any|Do you have any questions about the assignment?|Déterminant|quelque
anybody|Anybody can participate in the event.|Pronom|n'importe qui
anymore|I don't want to live here anymore.|Adverbe|plus
anyone|Does anyone know the answer to this question?|Pronom|n'importe qui
anything|You can choose anything from the menu.|Pronom|n'importe quoi
anyway|He decided to go anyway, despite the rain.|Adverbe|de toute façon
anywhere|I'm willing to go anywhere for our vacation.|Adverbe|n'importe où
apart|They live in apartments next to each other, but not apart.|Adverbe|à part
apartment|She moved into a new apartment in the city.|Nom féminin|appartement
apparent|The problem's apparent solution was not effective.|Adjectif|apparent
apparently|Apparently, he forgot about the meeting.|Adverbe|apparemment
appeal|The charity's appeal raised funds for the needy.|Nom masculin|appel
appear|She will appear as the lead role in the play.|Verbe|apparaître
appearance|Her appearance at the event was stunning.|Nom féminin|apparence
apple|I enjoy eating a crisp apple as a snack.|Nom masculin|pomme
application|The application for the job was submitted online.|Nom féminin|candidature
apply|You should apply sunscreen before going to the beach.|Verbe|appliquer
appoint|They will appoint a new manager for the project.|Verbe|nommer
appointment|I have a doctor's appointment tomorrow.|Nom masculin|Rendez-vous
appreciate|I appreciate your help with this project.|Verbe|apprécier
approach|The approach to problem-solving is important.|Nom féminin|approche
appropriate|Wearing casual clothes is appropriate for the party.|Adjectif|approprié
approval|The plan received approval from the committee.|Nom féminin|approbation
approve|The board will approve the budget proposal.|Verbe|approuver
approximately|The journey will take approximately four hours.|Adverbe|environ
Arab|She is of Arab descent and speaks Arabic.|Adjectif|arabe
architect|The architect designed the modern building.|Nom masculin|architecte
area|The park covers a large area with green spaces.|Nom féminin|zone
argue|They often argue about politics.|Verbe|argumenter
argument|Their argument became heated.|Nom masculin|argument
arise|Difficulties may arise during the project.|Verbe|survenir
arm|She broke her arm in the accident.|Nom masculin|bras
armed|The police officer is armed with a firearm.|Adjectif|armé
army|He serves in the army as a sergeant.|Nom masculin|armée
around|There are many interesting places around the city.|Préposition|autour de
arrange|They will arrange the chairs for the meeting.|Verbe|arranger
arrangement|The floral arrangement was beautiful.|Nom masculin|arrangement
arrest|The police made an arrest in the robbery case.|Nom masculin|arrestation
arrival|The arrival of the train was delayed.|Nom masculin|arrivée
arrive|They will arrive at the airport in an hour.|Verbe|arriver
art|She is a talented artist who paints beautiful art.|Nom masculin|art
article|The newspaper published an interesting article.|Nom masculin|article
artist|He is a well-known artist in the music industry.|Nom masculin|artiste
artistic|Her artistic talent shines through her paintings.|Adjectif|artistique
as|I work as a teacher.|Préposition|en tant que
Asian|She has an Asian background and loves Asian cuisine.|Adjectif|asiatique
aside|He put his worries aside and enjoyed the day.|Adverbe|à part
ask|Please ask him if he's available for a meeting.|Verbe|demander
asleep|She fell asleep while reading a book.|Adjectif|endormi
aspect|The financial aspect of the project is critical.|Nom masculin|aspect
assault|The assault on the fortress was intense.|Nom masculin|agression
assert|She had to assert herself to be heard in the meeting.|Verbe|affirmer
assess|They will assess the condition of the building.|Verbe|évaluer
assessment|The assessment of the project's progress is positive.|Nom féminin|évaluation
asset|The company's greatest asset is its talented workforce.|Nom masculin|actif
assign|He will assign tasks to the team members.|Verbe|attribuer
assignment|The assignment is due by the end of the week.|Nom masculin|devoir
assist|She offered to assist with the event planning.|Verbe|aider
assistance|They provided financial assistance to the family.|Nom féminin|assistance
assistant|He works as an assistant to the manager.|Nom masculin|assistant
associate|She is an associate professor at the university.|Nom masculin|associé
association|The association aims to promote local artists.|Nom féminin|association
assume|Never assume things without evidence.|Verbe|supposer
assumption|Their assumption about the project was incorrect.|Nom féminin|supposition
assure|He will assure the safety of the participants.|Verbe|assurer
at|I'll meet you at the cafe at 2 PM.|Préposition|à
athlete|She is a professional athlete in track and field.|Nom masculin|athlète
athletic|His athletic ability earned him a scholarship.|Adjectif|athlétique
atmosphere|The atmosphere in the room was tense.|Nom féminin|atmosphère
attach|Please attach the files to the email.|Verbe|joindre
attack|The sudden attack took them by surprise.|Nom masculin|attaque
attempt|He made an attempt to solve the puzzle.|Nom masculin|tentative
attend|I will attend the conference next week.|Verbe|assister
attention|Please pay attention to the instructions.|Nom féminin|attention
attitude|Her positive attitude is contagious.|Nom féminin|attitude
attorney|The attorney will represent you in court.|Nom masculin|avocat
attract|The beautiful garden will attract visitors.|Verbe|attirer
attractive|The model is known for her attractive appearance.|Adjectif|attirant
attribute|She attributes her success to hard work.|Verbe|attribuer
audience|The audience applauded after the performance.|Nom féminin|public
author|The author of the book is a renowned writer.|Nom masculin|auteur
authority|The local authority oversees public services.|Nom féminin|autorité
auto|He drives an auto to work every day.|Nom masculin|automobile
available|The product is available in various colors.|Adjectif|disponible
average|The average temperature in summer is 30°C.|Adjectif|moyen
avoid|Try to avoid traffic by taking a different route.|Verbe|éviter
award|He received an award for his contributions.|Nom masculin|prix
aware|He is aware of the importance of the task.|Adjectif|conscient
awareness|The campaign aims to raise awareness about recycling.|Nom féminin|conscience
away|She's away on a business trip this week.|Adverbe|loin
awful|The weather today is awful with heavy rain.|Adjectif|affreux
baby|Their baby is due in a few months.|Nom masculin|bébé
back|He hurt his back while lifting heavy boxes.|Nom masculin|dos
background|Her background in art is evident in her paintings.|Nom masculin|arrière-plan
bad|The movie received bad reviews from critics.|Adjectif|mauvais
badly|She needed the job badly to support her family.|Adverbe|fortement
bag|She carried her laptop in a stylish bag.|Nom masculin|sac
bake|She loves to bake homemade cookies.|Verbe|cuire au four
balance|Work-life balance is important for well-being.|Nom masculin|équilibre
ball|The kids played with a ball in the park.|Nom masculin|balle
ban|The city imposed a ban on smoking in public places.|Nom masculin|interdiction
band|The band played a concert in the park.|Nom masculin|groupe
bank|She deposited her savings in the bank.|Nom masculin|banque
bar|They went to a local bar for a drink.|Nom masculin|bar
barely|She barely had time to finish her assignment.|Adverbe|à peine
barrel|They stored the wine in wooden barrels.|Nom masculin|tonneau
barrier|A language barrier made communication difficult.|Nom masculin|barrière
base|The decision was made on the base of available data.|Nom masculin|base
baseball|He enjoys playing baseball with his friends.|Nom masculin|baseball
basic|Learning the basic principles is essential.|Adjectif|de base
basically|She explained the plan, which is basically simple.|Adverbe|fondamentalement
basis|The project is progressing on a daily basis.|Nom féminin|base
basket|She bought a new basket for the picnic.|Nom masculin|panier
basketball|He plays basketball for the school team.|Nom masculin|basket-ball
bathroom|The bathroom is being renovated next month.|Nom masculin|salle de bain
battery|The remote control needs a new battery.|Nom masculin|pile
battle|The battle lasted for several days.|Nom masculin|bataille
be|To be or not to be, that is the question.|Verbe|être
beach|The beach is the perfect place for a vacation.|Nom féminin|plage
bean|She used black beans in her chili recipe.|Nom masculin|haricot
bear|The bear was spotted in the woods.|Nom masculin|ours
beat|The drummer can beat the drum with great skill.|Verbe|battre
beautiful|The sunset over the ocean was incredibly beautiful.|Adjectif|beau
beauty|She admired the natural beauty of the landscape.|Nom féminin|beauté
because|She couldn't attend the event because of illness.|Conjonction|parce que
become|He aspired to become a successful entrepreneur.|Verbe|devenir
bed|I love to sleep in a comfortable bed.|Nom masculin|lit
bedroom|The bedroom is a place for relaxation.|Nom masculin|chambre
beer|He enjoys sipping a cold beer on hot days.|Nom masculin|bière
before|Please complete the task before the deadline.|Préposition|avant
begin|Let's begin the meeting with an introduction.|Verbe|commencer
beginning|The beginning of a story sets the tone.|Nom masculin|début
behavior|His behavior at the party was unacceptable.|Nom masculin|comportement
behind|The car is parked behind the house.|Préposition|derrière
being|Being kind to others is a virtue.|Nom masculin|être
belief|Her strong belief in justice drove her actions.|Nom masculin|croyance
believe|I believe that hard work leads to success.|Verbe|croire
bell|The ringing of the bell signaled the end of class.|Nom masculin|cloche
belong|The lost wallet may belong to someone in the office.|Verbe|appartenir
below|The temperature is below freezing today.|Préposition|sous
belt|She fastened her seatbelt before driving.|Nom masculin|ceinture
bench|The park bench is a great place to relax.|Nom masculin|banc
bend|The road takes a sharp bend to the left.|Verbe|plier
beneath|The treasure is buried beneath the ground.|Préposition|sous
benefit|Regular exercise has numerous health benefits.|Nom masculin|avantage
beside|She sat beside her best friend at the event.|Préposition|à côté de
besides|He enjoys playing tennis and hiking, besides biking.|Préposition|en plus de
best|Her best friend always supports her.|Adjectif|meilleur
bet|He placed a bet on the horse race.|Nom masculin|pari
better|Practice makes you better at your craft.|Adjectif|meilleur
between|The city is located between the mountains.|Préposition|entre
beyond|His generosity goes beyond what is expected.|Préposition|au-delà de
Bible|The Bible is a sacred text for many religions.|Nom féminin|Bible
big|The elephant is a big animal.|Adjectif|grand
bike|He enjoys riding his bike in the park.|Nom masculin|vélo
bill|The restaurant bill arrived at the end of the meal.|Nom masculin|facture
billion|The company's revenue exceeded a billion dollars.|Nom masculin|milliard
bind|The glue will bind the pages together.|Verbe|lier
biological|The biological processes in the body are complex.|Adjectif|biologique
bird|The colorful bird perched on the branch.|Nom masculin|oiseau
birth|Her birthplace is a small town in the countryside.|Nom masculin|naissance
birthday|She celebrated her birthday with a party.|Nom masculin|anniversaire
bit|He ate a bit of chocolate after dinner.|Nom masculin|morceau
bite|The dog gave her a playful bite on the hand.|Nom masculin|morsure
black|The cat has sleek black fur.|Adjectif|noir
blade|The sharp blade cut through the paper easily.|Nom masculin|lame
blame|She tried to avoid placing blame on anyone.|Verbe|reprocher
blanket|She wrapped herself in a warm blanket.|Nom masculin|couverture
blind|He walked with a blind man across the street.|Adjectif|aveugle
block|The building has a block of apartments.|Nom masculin|bloc
blood|Blood donations save lives in emergencies.|Nom masculin|sang
blow|The strong wind can blow down trees.|Verbe|souffler
blue|The sky was clear and blue on a sunny day.|Adjectif|bleu
board|She wrote the agenda on the board for the meeting.|Nom féminin|tableau
boat|They went fishing on a small boat.|Nom masculin|bateau
body|Exercise and a healthy diet benefit the body.|Nom masculin|corps
bomb|The explosion was caused by a bomb.|Nom masculin|bombe
bombing|The terrorist group claimed responsibility for the bombing.|Nom masculin|attentat
bond|The friendship between them is strong.|Nom masculin|lien
bone|Chicken soup is made with a chicken bone.|Nom masculin|os
book|She enjoys reading a good book on a rainy day.|Nom masculin|livre
boom|The economic boom led to job growth.|Nom masculin|essor
boot|She wore a stylish boot during the winter.|Nom masculin|bottes
border|The river forms a natural border between the two countries.|Nom masculin|frontière
born|He was born in a small town in the countryside.|Verbe|né
borrow|Can I borrow your pen for a moment?|Verbe|emprunter
boss|Her boss praised her for her hard work.|Nom masculin|patron
both|Both of them decided to go on the trip.|Déterminant|les deux
bother|Don't bother about it; I can handle it.|Verbe|déranger
bottle|She opened a bottle of sparkling water.|Nom féminin|bouteille
bottom|The treasure is buried at the bottom of the ocean.|Nom masculin|fond
boundary|The boundary between the two properties is clear.|Nom féminin|limite
bowl|She had a bowl of soup for lunch.|Nom masculin|bol
box|He received a small box as a gift.|Nom masculin|boîte
boy|The little boy played with his toy cars.|Nom masculin|garçon
boyfriend|Her boyfriend surprised her with flowers.|Nom masculin|petit ami
brain|The brain is a complex organ with many functions.|Nom masculin|cerveau
branch|The tree has a strong branch that provides shade.|Nom masculin|branche
brand|The brand of the phone is well-known for its quality.|Nom masculin|marque
bread|She made fresh bread for breakfast.|Nom masculin|pain
break|They will take a break after working for hours.|Nom masculin|pause
breakfast|She enjoys a hearty breakfast in the morning.|Nom masculin|petit déjeuner
breast|Breastfeeding is recommended for infants.|Nom féminin|sein
breath|She took a deep breath to calm her nerves.|Nom féminin|respiration
breathe|It's important to breathe deeply during yoga.|Verbe|respirer
brick|The old house was made of red brick.|Nom masculin|brique
bridge|The bridge connects the two sides of the river.|Nom masculin|pont
brief|He gave a brief explanation of the project.|Adjectif|bref
briefly|She spoke briefly about her experiences abroad.|Adverbe|brièvement
bright|The bright sun illuminated the room.|Adjectif|lumineux
brilliant|She received a brilliant scholarship for her studies.|Adjectif|brillant
bring|Can you bring your guitar to the party?|Verbe|apporter
British|She is of British descent and has a British accent.|Adjectif|britannique
broad|The street is broad, allowing for ample parking.|Adjectif|large
broken|The vase is broken and needs to be repaired.|Adjectif|cassé
brother|Her younger brother is starting school.|Nom masculin|frère
brown|The dog's fur is a rich brown color.|Adjectif|marron
brush|She used a brush to paint the fence.|Nom masculin|pinceau
buck|He found a lucky buck on the sidewalk.|Nom masculin|dollar
budget|They created a budget to manage their finances.|Nom masculin|budget
build|They plan to build a new house on the property.|Verbe|construire
building|The building is a historic landmark in the city.|Nom masculin|bâtiment
bullet|The detective found a bullet at the crime scene.|Nom masculin|balle
bunch|She picked a bunch of fresh flowers from the garden.|Nom masculin|bouquet
burden|The burden of responsibility can be heavy at times.|Nom masculin|fardeau
burn|The fire started to burn brightly in the fireplace.|Verbe|brûler
bury|They will bury the time capsule in the backyard.|Verbe|enterrer
bus|She takes the bus to work every day.|Nom masculin|autobus
business|His business is thriving, thanks to hard work.|Nom masculin|entreprise
busy|She's too busy to attend the meeting today.|Adjectif|occupé
but|I like coffee, but she prefers tea.|Conjonction|mais
butter|She spread butter on her toast for breakfast.|Nom masculin|beurre
button|The button on his shirt came loose.|Nom masculin|bouton
buy|She plans to buy a new car next year.|Verbe|acheter
buyer|The buyer examined the product before purchase.|Nom masculin|acheteur
by|He wrote a book by the river.|Préposition|par
cabin|They rented a cozy cabin in the mountains.|Nom masculin|cabane
cabinet|The cabinet is filled with dishes and utensils.|Nom masculin|placard
cable|The cable provides high-speed internet access.|Nom masculin|câble
cake|She baked a delicious chocolate cake for the party.|Nom masculin|gâteau
calculate|He had to calculate the total cost of the project.|Verbe|calculer
call|She will call her friend to confirm the plans.|Verbe|appeler
camera|The camera captures beautiful moments.|Nom masculin|appareil photo
camp|The kids had a great time at summer camp.|Nom masculin|camp
campaign|The election campaign is in full swing.|Nom féminin|campagne
campus|The university campus is spacious and modern.|Nom masculin|campus
can|She can speak three languages fluently.|Modal|pouvoir
Canadian|He is a Canadian citizen living abroad.|Adjectif|canadien
cancer|The diagnosis revealed that she has lung cancer.|Nom masculin|cancer
candidate|She is a strong candidate for the job position.|Nom masculin|candidat
cap|He wore a cap to protect himself from the sun.|Nom masculin|casquette
capability|Her capability to solve problems is impressive.|Nom féminin|capacité
capable|She is capable of handling challenging tasks.|Adjectif|capable
capacity|The stadium has a seating capacity of 50,000.|Nom féminin|capacité
capital|The capital city is known for its historic landmarks.|Nom masculin|capitale
captain|The captain led the team to victory.|Nom masculin|capitaine
capture|The photograph captures a beautiful sunset.|Verbe|capturer
car|She bought a new car for her daily commute.|Nom masculin|voiture
carbon|Carbon emissions contribute to climate change.|Nom masculin|carbone
card|She received a birthday card from her friend.|Nom masculin|carte
care|She takes great care of her garden.|Nom masculin|soin
career|His career in medicine is both rewarding and challenging.|Nom masculin|carrière
careful|He is always careful when handling fragile items.|Adjectif|prudent
carefully|She read the instructions carefully before assembling the furniture.|Adverbe|avec précaution
carrier|The airline is a major carrier for international flights.|Nom masculin|transporteur
carry|He can carry heavy loads with ease.|Verbe|porter
case|The phone case provides protection for the device.|Nom masculin|étui
cash|He paid for the dinner with cash.|Nom masculin|argent liquide
cast|The movie cast includes famous actors.|Nom masculin|distribution
cat|The cat purred as it was being petted.|Nom masculin|chat
catch|She tried to catch the ball but missed.|Verbe|attraper
category|The products are organized by category.|Nom féminin|catégorie
Catholic|She is a devout Catholic and attends church regularly.|Adjectif|catholique
cause|The organization's cause is to fight hunger.|Nom masculin|cause
ceiling|The ceiling of the room was painted white.|Nom masculin|plafond
celebrate|They will celebrate their anniversary with a party.|Verbe|célébrer
celebration|The New Year's celebration included fireworks.|Nom féminin|célébration
celebrity|The celebrity was surrounded by fans and photographers.|Nom masculin|célébrité
cell|The human body is composed of countless cells.|Nom féminin|cellule
center|The city center is a bustling hub of activity.|Nom masculin|centre
central|The central location made it easy to access the city.|Adjectif|central
century|The 20th century brought significant advancements.|Nom masculin|siècle
CEO|The CEO of the company is known for their leadership.|Nom masculin|PDG
ceremony|The wedding ceremony was held outdoors.|Nom féminin|cérémonie
certain|She was certain that the answer was correct.|Adjectif|certain
certainly|She will certainly attend the event.|Adverbe|certainement
chain|The chain of events led to a successful outcome.|Nom masculin|chaîne
chair|He sat in the chair at the head of the table.|Nom masculin|chaise
chairman|The chairman presided over the meeting.|Nom masculin|président
challenge|Overcoming the challenge was a great achievement.|Nom masculin|défi
chamber|The sound echoed through the chamber.|Nom féminin|chambre
champion|He was a champion in the world of sports.|Nom masculin|champion
championship|The championship game is the culmination of the season.|Nom masculin|championnat
chance|She took a chance and applied for the job.|Nom féminin|occasion
change|Change is a constant part of life.|Nom masculin|changement
changing|The changing seasons bring new weather patterns.|Adjectif|changeant
channel|He switched the TV channel to watch the news.|Nom masculin|chaîne
chapter|The book has an exciting chapter at the end.|Nom masculin|chapitre
character|Her strong character is evident in her actions.|Nom masculin|personnage
characteristic|One characteristic of the region is its beautiful landscape.|Nom féminin|caractéristique
characterize|To characterize him as a leader is accurate.|Verbe|caractériser
charge|He forgot to charge his phone overnight.|Nom féminin|charge
charity|The charity organization helps those in need.|Nom féminin|charité
chart|The chart displays data in a visual format.|Nom masculin|graphique
chase|The dog loves to chase after a ball in the park.|Verbe|poursuivre
cheap|The store offers a variety of cheap products.|Adjectif|bon marché
check|She will write a check to pay the bill.|Verbe|vérifier
cheek|She planted a soft kiss on his cheek.|Nom masculin|joue
cheese|She enjoys a cheese platter with wine.|Nom masculin|fromage
chef|The chef prepared a gourmet meal for the guests.|Nom masculin|chef
chemical|The chemical reaction produced a colorful solution.|Adjectif|chimique
chest|He keeps his clothes in the chest of drawers.|Nom masculin|poitrine
chicken|She cooked a delicious chicken curry for dinner.|Nom masculin|poulet
chief|The chief of police oversees law enforcement.|Nom masculin|chef
child|The child played in the park with friends.|Nom masculin|enfant
childhood|Her childhood memories are filled with laughter.|Nom féminin|enfance
Chinese|She is learning to cook Chinese cuisine.|Adjectif|chinois
chip|The chip in the computer is responsible for processing.|Nom masculin|puce
chocolate|She can't resist indulging in dark chocolate.|Nom masculin|chocolat
choice|The menu offers a variety of choice dishes.|Nom féminin|choix
cholesterol|High cholesterol levels can lead to health issues.|Nom masculin|cholestérol
choose|You can choose between two different options.|Verbe|choisir
Christian|He is a devout Christian who attends church regularly.|Adjectif|chrétien
Christmas|Christmas is a time for celebration and giving.|Nom masculin|Noël
church|The church is a place of worship and reflection.|Nom féminin|église
cigarette|He decided to quit smoking and threw his last cigarette away.|Nom féminin|cigarette
circle|They sat in a circle and shared stories.|Nom masculin|cercle
circumstance|The circumstance of the accident is still under investigation.|Nom féminin|circonstance
cite|She decided to cite the research in her paper.|Verbe|citer
citizen|He is a responsible citizen who votes in every election.|Nom masculin|citoyen
city|The city offers a vibrant urban lifestyle.|Nom masculin|ville
civil|The civil rights movement fought for equality and justice.|Adjectif|civil
civilian|The civilian population was affected by the conflict.|Adjectif|civil
claim|She will claim the prize if she wins the competition.|Verbe|réclamer
class|The class discussed the importance of teamwork.|Nom masculin|classe
classic|The classic novel is still widely read today.|Adjectif|classique
classroom|The classroom is equipped with modern technology.|Nom masculin|salle de classe
clean|She cleaned the house from top to bottom.|Verbe|nettoyer
clear|The instructions were clear and easy to follow.|Adjectif|clair
clearly|She explained the concept clearly to the students.|Adverbe|clairement
client|He met with the client to discuss the project.|Nom masculin|client
climate|The climate in the region is tropical and humid.|Nom masculin|climat
climb|They decided to climb the mountain on the weekend.|Verbe|escalader
clinic|The clinic provides medical care to the community.|Nom féminin|clinique
clinical|The clinical trial showed promising results.|Adjectif|clinique
clock|The clock on the wall indicates the time.|Nom masculin|horloge
close|She will close the store at 6 PM today.|Verbe|fermer
closely|He observed the situation closely.|Adverbe|étroitement
closer|The end of the project is drawing closer.|Adjectif|plus près
clothes|She bought new clothes for the summer season.|Nom masculin|vêtements
clothing|The clothing store offers a variety of options.|Nom masculin|vêtements
cloud|The cloud in the sky resembled a fluffy pillow.|Nom masculin|nuage
club|He joined a club dedicated to environmental conservation.|Nom masculin|club
clue|She found a clue that helped solve the mystery.|Nom masculin|indice
cluster|The cluster of stars formed a beautiful constellation.|Nom masculin|amas
coach|The coach trains the team for success.|Nom masculin|entraîneur
coal|Coal is a source of energy used for electricity.|Nom masculin|charbon
coalition|The coalition of nations worked together for peace.|Nom féminin|coalition
coast|The coast of the island is known for its stunning beaches.|Nom masculin|côte
coat|She wore a warm coat during the winter months.|Nom masculin|manteau
code|He wrote a code to solve a complex problem.|Nom masculin|code
coffee|She enjoys a cup of coffee to start her day.|Nom masculin|café
cognitive|Cognitive abilities develop during early childhood.|Adjectif|cognitif
cold|The cold weather requires warm clothing.|Adjectif|froid
collapse|The building's structure was compromised, leading to its collapse.|Verbe|effondrer
colleague|Her colleague provided valuable input on the project.|Nom masculin|collègue
collect|They will collect donations for the charity.|Verbe|collecter
collection|Her collection of rare coins is impressive.|Nom féminin|collection
collective|The collective effort of the team led to success.|Adjectif|collectif
college|He attended college to further his education.|Nom masculin|collège
colonial|The colonial era left a lasting impact on the region.|Adjectif|colonial
color|The color of the flowers in the garden is vibrant.|Nom masculin|couleur
